,I_max_time,I_max,S_50_time
country,166.0,4135.824240135943,151.3
city_00,172.5,178.51554044008975,158.9
city_10,168.60000000000002,178.51577545383728,154.9
city_20,166.70000000000002,178.5157268172879,153.0
city_30,168.60000000000002,178.51577545383728,154.9
city_40,172.5,178.51554044008975,158.9
city_01,168.60000000000002,178.51577545383728,154.9
city_11,160.9,178.51561025516395,147.3
city_21,155.10000000000002,178.5156782585844,141.5
city_31,160.9,178.51561025516395,147.3
city_41,168.60000000000002,178.51577545383728,154.9
city_02,166.70000000000002,178.5157268172879,153.0
city_12,155.10000000000002,178.5156782585844,141.5
city_22,120.5,178.51785970542252,106.9
city_32,155.10000000000002,178.51567825858456,141.5
city_42,166.70000000000002,178.5157268172879,153.0
city_03,168.60000000000002,178.51577545383728,154.9
city_13,160.9,178.51561025516395,147.3
city_23,155.10000000000002,178.51567825858456,141.5
city_33,160.9,178.51561025516395,147.3
city_43,168.60000000000002,178.51577545383728,154.9
city_04,172.5,178.51554044008975,158.9
city_14,168.60000000000002,178.51577545383728,154.9
city_24,166.70000000000002,178.5157268172879,153.0
city_34,168.60000000000002,178.51577545383728,154.9
city_44,172.5,178.51554044008975,158.9
